ORG-KBS6-RIPE|,2
Wetterpark Deutscher Wetterdienst||,2
BUNDESWEHR-KRANKENHAUS-HAMBURG-NET|,2
Zollkriminalamt||ZOLLKRIMINALAMT-DIENSTSITZ-MUENSTER-NET|,2
BUNDESWEHR-SOZIALWERK-BONN-NET|,2
Bundesministerium der Finanzen|Wilhelmstrasse 97|10117 Berlin||,2
ZENTRUM-ZMZ-BUNDESWEHR-CLAUSEWITZ-KASERNE-NIENBURG-NET|,2
Bundesamt fuer Migration und Fluechtlinge||BUNDESAMT-FUER-MIGRATION-UND-FLUECHTLINGE-HEIDELBERG-NET|,2
Bundesanstalt fuer Arbeit Arbeitsamt Memmingen||,2
ORG-DB70-RIPE|,2
Bundesministerium der Finanzen|Graurheindorfer Strasse 108|53117 Bonn 05|Remote connection to SAP||,2
"Bundeswehr Systeminstandsetzungszentrum 800|Wilhelm-Johnen-Strasse 1, 52428 Juelich|Remote connection to SAP||",2
Bundesanstalt fuer Arbeit Arbeitsamt Kempten||,2
ORG-BfKu1-RIPE|,1
Bundesanstalt für Finanzmarktstabilisierung|Taunusanlage 6|60329 Frankfurt am Main||,1
BUNDESLIEGENSCHAFT-NET2|,1
Bundeszentrale für politische Bildung Bonn||,1
Bundesanstalt fuer Arbeit Arbeitsamt Geithain||,1
Bundesanstalt fuer Arbeitsschutz und Arbeitsmedizin|Friedrich-Henkel-Weg 1-25|D-44149 Dortmund||,1
Bundesanstalt fuer Arbeit Arbeitsamt Muehlhausen||,1
Bundesanstalt fuer Arbeit Arbeitsamt Rodgau||,1
Bundesanstalt fuer Immobilienaufgaben||NET-DE-BUNDESANSTALT-FUER-IMMOBILIENAUFGABEN|,1
BUNDESLIEGENSCHAFT-NET41|,1
Bundesnetzagentur||BUNDESNETZAGENTUR-TULPENFELD-BONN-NET|,1
"Bundesanstalt fuer Arbeitsschutz|Dortmund, de||",1
Saechsische Landespolizei/LKA Zollkriminalamt|Kopernikusstr. 76|D-15236 Frankfurt|GERMANY||,1
Bundesanstalt fuer Arbeit Arbeitsamt Kamp-Lintfort||,1
DE-Beschaffungsamt-des-Bundesministeriums-6617596|,1
Bundesanstalt fuer Arbeit Arbeitsamt Germersheim||,1
"Bundesamt fuer Kartographie und Geodaesie|Forschungseinrichtung des Bundes|Geodaesie, Kartographie, Photogrammetrie|Frankfurt/Main||",1
FRIEDRICH-LOEFFLER-INSTITUT-FUER-MEDIZINISCHE-MIKROBIOLOGIE|,1
Bundesanstalt fuer Arbeit Arbeitsamt Ludwigshafen||,1
Bundesanstalt fuer Arbeit Arbeitsamt Offenbach||,1
TSI fuer Zollkriminalamt||ZOLLKRIMINALAMT-BERLIN-NET|,1
Bundesanstalt fuer Arbeit Arbeitsamt Emmerich||,1
Bundesamt fuer Justiz|Heinrich-von-Stephan-Str.9|D-53175 Bonn||,1
Ministerium des Innern des Landes Brandenburg||,1
Servicestuetzpunkt Muenchen Deutscher Wetterdienst||,1
Bundesnetzagentur|Alter Hellweg 56|D- 44379 Dortmund|GERMANY||,1
BSI Bundesamt für Sicherheit in der IT||,1
Bundesanstalt fuer Arbeit Arbeitsamt Grevesmuehlen||,1
Ministerium fuer Schule und Weiterbildung NRW|Voelklinger Str. 49|40221 Duesseldorf||,1
UMWELTBUNDESAMT||NET-DE-UMWE-TBUNDESAMT|,1
Bundesanstalt fuer Arbeit Arbeitsamt Salzwedel||,1
Bundesanstalt fuer Arbeit Arbeitsamt Werl||,1
Bundesanstalt fuer Arbeit Arbeitsamt Bad Ems||,1
BUNDESLIEGENSCHAFT-NET15|,1
Bundesanstalt fuer Arbeit Arbeitsamt Aurich||,1
FRIEDRICH-LOEFFLER-INSTITUT-CELLE-NET|,1
DTAG-WAN-BUNDESARBEITSGERICHT-NET|,1
BUNDESLIEGENSCHAFT-NET19|,1
DBwV - Deutscher Bundeswehr Verband e.V.||,1
Network of Ministerium fuer LF Dresden||,1
Bundesamt fuer Sicherheit in der Informationstechnik|CERT-Bund|Godesberger Allee 185-189|53175 Bonn||ORG-CA1591-RIPE|,1
ZKA Zollkriminalamt|Weiglestr. 11-13|D-45128 Essen|Germany||,1
Bundesanstalt fuer Arbeit Arbeitsamt Wesel||,1
ORG-BD44-RIPE|,1
Bundesanstalt fuer Arbeit Bad Liebenwerda||,1
Bundesanstalt fuer Arbeit Arbeitsamt Donauwoerth||,1
Bundesanstalt fuer Arbeit Arbeitsamt Suhl||,1
Bundesanstalt fuer Arbeit Arbeitsamt Walsrode||,1
Bundesanstalt fuer Arbeit Arbeitsamt Buchholz||,1
Bundesnetzagentur|Aktienstr. 1-7|D-45473 Muelheim|Germany||,1
Universitaet der Bundeswehr Hamburg|Holstenhofweg 85|D-22043 Hamburg||,1
Bundesanstalt fuer Arbeit Arbeitsamt Laatzen||,1
Bundesanstalt fuer Arbeit Arbeitsamt Konstanz||,1
TSBS GmbH fuer Zollkriminalamt||ZOLLKRIMINALAMT-KOELN-NET2|,1
FRIEDRICH-LOEFFLER-INSTITUT-BRAUNSCHWEIG-NET|,1
Bundesanstalt fuer Arbeit Arbeitsamt Ahlen||,1
"Bundesamt f?r Verbraucherschutz u. Lebensmittelsicherheit|Berlin, DEU||",1
Bundesanstalt fuer Arbeitsschutz und Arbeitsmedizin||,1
Bundesanstalt fuer Arbeit Arbeitsamt Mainz||,1
Bundesanstalt fuer Arbeit Arbeitsamt Landau||,1
Bundesanstalt fuer Geowissenschaften und Rohstoffe|Hannover||,1
BUNDESLIEGENSCHAFT-NET3|,1
Bundesanstalt fuer Arbeit Arbeitsamt Hoexter||,1
Bundesanstalt fuer IT-Dienstleistungen|Am Ehrenberg 8|D-98693 Illmenau||BUNDESANSTALT_FUER_IT-DIENSTLEISTUNGEN-TRAN-NET|,1
Bundespolizeiamt Koeln  Winkler/Bisschop||,1
BUNDESLIEGENSCHAFT-NET29|,1
Bundesanstalt fuer Arbeit Arbeitsamt Freiburg||,1
TSI fuer Bundeskriminalamt||,1
Max Rubner-Institut Bundes- forsch.f.Lebensmittel+Ernaehr.||,1
AMEDON-BUNDESWEHR-HOUSING-NET1|,1
Bundesinstitut fuer Arzneimittel und Medizinprodukte|Fachgebiet IT|Kurt-Georg-Kiesinger-Allee 3|53175 Bonn|GERMANY||,1
Bundesanstalt fuer Arbeit Arbeitsamt Schleswig||,1
Bundesanstalt fuer Arbeit Arbeitsamt Weilheim||,1
BUNDESLIEGENSCHAFT-NET20|,1
BUNDESWEHR-HAMMELBURG-NET|,1
Bundesanstalt fuer Arbeit Arbeitsamt Brand-Erbisdorf||,1
Robert-Koch-Institut||ROBERT-KOCH-INSTITUT-BERLIN-NET|,1
"Bundesanstalt fur Finanzdienstleistungsaufsicht|Graurheindorfer Strasse 108, 53117 Bonn|Remote connection to SAP||",1
Bundesliegenschaft-NET2|,1
Bundesanstalt fuer Arbeit Arbeitsamt Muellheim||,1
Deutsche Nationalbibliothek|Adickesalle 1|60322 Frankfurt am Main||,1
Umweltbundesamt|Berlin||,1
Bundesanstalt fuer Arbeit Arbeitsamt Speyer||,1
Physikalisch-Technische Bundesanstalt|Institut Berlin|PTB-laboratory at BESSY||,1
"Ministerium des Innern, für Sport und Infrastruktur||MINISTERIUM-DES-INNERN-MAINZ-NET|",1
Bundesanstalt fuer Arbeit Arbeitsamt Wittlich||,1
Bundesanstalt fuer Arbeit Arbeitsamt Leipzig||,1
Bundesanstalt fuer Finanzdienstleistungsaufsicht||,1
Rechenzentrum der Bundeswehr||RECHENZENTRUM-BUNDESWEHR-STRAUSBERG|,1
Bundesministerium f. Verkehr und digitale Infrastruktur|Robert-Schumann-Platz 1|D-53175 Bonn||,1
Bundeswehrverwaltungsschule||BUNDESWEHRVERWALTUNGSSCHULE-OBERAMMERGAU-NET2|,1
Deutscher Bundestag|11011 Berlin||BUNDESTAG|,1
TSI fuer Bundesarchiv||BUNDESARCHIV-KOBLENZ-NET|,1
Bundeswehr FlaRakG2||BUNDESWEHR-FLARAKG2-BAD-SUELZE-NET|,1
Deutscher Wetterdienst Offenbach||,1
Bundesnetzagentur||BUNDESNETZAGENTUR-CHEMNITZ-NET|,1
Bundesanstalt fuer Arbeit Arbeitsamt Neuwied||,1
Bundeswehrkrankenhaus Ulm Herr Ruediger||,1
"Ministerium für Wirtschaft, Arbeit, Verkehr und Technologie SH||MINISTERIUM-FUER-WIRTSCHAFT-ARBEIT-VERKEHR-UND-TECHNOLOGIE-SH|",1
Bundesanstalt fuer Arbeit Arbeitsamt Goerlitz||,1
Bundesanstalt fuer Arbeit Arbeitsamt Eutin||,1
TSBS GmbH fuer Bundessortenamt||BUNDESSORTENAMT-HANNOVER-NET|,1
TSI fuer Zollkriminalamt||ZOLLKRIMINALAMT-BAHRATAL-NET|,1
Bundesanstalt fuer Arbeit Arbeitsamt Frankenberg||,1
Bundesanstalt fuer Arbeit Arbeitsamt Pirmasens||,1
Bundesanstalt fuer Arbeit Arbeitsamt Barsinghausen||,1
BUNDESLIEGENSCHAFT-NET16|,1
Bundesanstalt fuer Arbeit Arbeitsamt Konz||,1
Bundesagentur f. Arbeit-IT-Systemhaus Controlling/Finanzen|Regensburger Strasse 104|90478 Nuernberg||,1
Bundeswehr Olympiastuetzpunkt Warendorf|Dr.-Rau-Allee 32|D-48231 Warendorf|GERMANY||,1
Bundesanstalt fuer Arbeit Arbeitsamt Luenen||,1
Bundesanstalt fuer Arbeit Arbeitsamt Oldenburg||,1
Bundesliegenschaft-NET6|,1
Bundesanstalt fuer Arbeit Arbeitsamt Beckum||,1
Bundesanstalt fuer Arbeit Arbeitsamt Parchim||,1
ORG-BFSU1-RIPE|,1
Bundesanstalt fuer Arbeit Arbeitsamt Trostberg||,1
Bundesanstalt fuer IT-Dienstleistungen|Am Ehrenberg 8|D-98693 Illmenau||,1
Bundesanstalt fuer Arbeit Arbeitsamt Freilassing||,1
Bundesanstalt fuer Arbeit Arbeitsamt Koenigswinter||,1
Frankfurter Strasse 135|D-63067 Offenbach/Main|Germany|Deutscher Wetterdienst|Kaiserleistr. 29-35||,1
BUNDESLIEGENSCHAFT-NET34|,1
Bundesanstalt fuer Arbeit Arbeitsamt Hohenwestedt||,1
BUNDESLIEGENSCHAFT-NET21|,1
Physikalisch-Technische Bundesanstalt|Institut Berlin Charlottenburg||,1
TSI fuer Bundeskanzleramt||BUNDESKANZLERAMT-BERLIN-NET6|,1
BUNDESLIEGENSCHAFT-NET28|,1
Bundesanstalt fuer Arbeit Arbeitsamt Eberswalde||,1
