,inet6num,name,inetnum,primary-key
411,,Bundesanstalt fuer Arbeit Arbeitsamt Schwerte||,212.185.15.120 - 212.185.15.127,2190494
412,,Bundesanstalt fuer Arbeit Arbeitsamt Eutin||,193.159.178.56 - 193.159.178.63,2195274
413,,Bundesanstalt fuer Arbeit Arbeitsamt Saarburg||,193.158.236.224 - 193.158.236.231,2197898
414,,Bundesanstalt fuer Arbeit Arbeitsamt Flensburg||,212.185.170.96 - 212.185.170.103,2187021
415,,Bundesanstalt fuer Arbeit Arbeitsamt Lueneburg||,212.185.15.104 - 212.185.15.111,2190483
416,,Bundesanstalt fuer Arbeit Arbeitsamt Luenen||,212.185.15.112 - 212.185.15.119,2190490
417,,Bundesanstalt fuer Arbeit Arbeitsamt Schleswig||,212.185.170.88 - 212.185.170.95,2187017
420,,Bundespolizeiamt Koeln  Winkler/Bisschop||,83.236.227.45 - 83.236.227.45,4507924
421,,Bundeswehr/Headquaters-2nd-German-Air-Division||,80.154.1.0 - 80.154.1.255,4554477
422,,Bundesanstalt fuer Landwirtschaft und Ernaehrung (BLE)||,217.76.106.0 - 217.76.107.255,4348711
424,,Bundespolizeiamt Koeln Winkler/Bisschop||,83.236.230.40 - 83.236.230.40,4507933
428,,Bundesanstalt fuer Arbeit Arbeitsamt Wesel ARGE||,217.6.115.8 - 217.6.115.15,4797255
429,,Bundesanstalt fuer Arbeit Arbeitsamt||,217.237.181.16 - 217.237.181.23,4753245
430,,Bundesanstalt fuer Arbeit Arbeitsamt||,217.6.124.8 - 217.6.124.15,4747172
432,,Gaestehaus der Bundesregierung Meseberg||GAESTEHAUS-DER-BUNDESREGIERUNG-MESEBERG-GRANSEE-NET|,217.237.175.112 - 217.237.175.119,5018912
433,,"Bundesamt f?r Verbraucherschutz u. Lebensmittelsicherheit|Berlin, DEU||",213.71.10.120 - 213.71.10.123,4976667
434,,Bundesnetzagentur|Semperstr. 7|D-01069 Dresden|Germany||,213.23.172.112 - 213.23.172.127,5124478
436,,Bundesnetzagentur|Canisiusstr. 21|D-55122 Mainz|Germany||,213.23.198.160 - 213.23.198.175,5124688
443,,Bundesagentur f. Arbeit-IT-Systemhaus Controlling/Finanzen|Regensburger Strasse 104|90478 Nuernberg||,62.214.112.192 - 62.214.112.195,6493031
444,,Bundeswehrverwaltungsschule||BUNDESWEHRVERWALTUNGSSCHULE-OBERAMMERGAU-NET2|,62.153.226.112 - 62.153.226.119,6370034
448,,Bundesanstalt fuer Arbeit Arbeitsamt Emmerich||,195.243.196.88 - 195.243.196.95,2066674
449,,Bundesanstalt fuer Arbeit Arbeitsamt Kleve||,195.243.196.112 - 195.243.196.119,2066679
450,,Bundesanstalt fuer Arbeit Arbeitsamt Bad Ems||,195.243.250.168 - 195.243.250.175,2072107
451,,Bundesanstalt fuer Arbeit Arbeitsamt Warendorf||,212.185.56.80 - 212.185.56.87,2066627
452,,Bundesanstalt fuer Arbeit Arbeitsamt Olsberg||,212.185.56.112 - 212.185.56.119,2066640
453,,Bundesanstalt fuer Arbeit Arbeitsamt Paderborn||,195.145.240.208 - 195.145.240.215,2086533
454,,Bundesanstalt fuer Arbeit Arbeitsamt Bottrop||,212.185.56.88 - 212.185.56.95,2066631
